catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
D-234,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-276,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-276,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-276,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-347,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-347,,,*,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
D-347,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-397,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-397,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-397,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-467,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-467,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-709,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-828,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-828,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-828,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-704,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-704,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1298,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1298,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1854,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2226,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2176,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2255,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2399,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2425,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2435,,yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2435,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-2444,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2444,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-2612,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2586,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-232,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-23,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-198,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-338,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-560,,Yes,*,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-612,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1257,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1325,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1325,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1661,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1661,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1840,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1956,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1940,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1940,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
